# Rattachement etablissement penitentiaire -> commune d'implantation (code INSEE, COG 2025).
# Construit le 2026-08-07 par jointure sur le nom entre le fichier mensuel DGAP
# « statistique_etablissements_personnes_ecrouees » (onglets Tab14-Tab23) et la Base de
# donnees locales de l'annuaire de l'administration (DILA, licence ouverte 2.0,
# https://lecomarquage.service-public.gouv.fr/donnees_locales_v4/all_latest.tar.bz2,
# types maison_arret / centre_penitentiaire / centre_detention / maison_centrale / csl / esm).
# La jointure floue a ete faite UNE fois puis verifiee a la main ; ce fichier est le
# resultat fige. Le connecteur (plateforme/normalize/prisons.py) le lit tel quel et ne
# refait jamais le rapprochement : un etablissement du xlsx absent d'ici bloque le run.
# provenance = annuaire (appariement exact sur le nom) ou manuel (resolu a la main,
# la colonne reference dit depuis quoi). Les arrondissements municipaux sont replies
# sur leur commune (CP de Marseille-Baumettes : 13209 -> 13055).
etablissement,code_commune,provenance,reference
CP PARIS LA SANTE,75056,annuaire,Centre pénitentiaire de Paris La Santé
CP PERPIGNAN,66136,annuaire,Centre pénitentiaire de Perpignan
CP POITIERS VIVONNE,86293,annuaire,Centre pénitentiaire de Poitiers-Vivonne
CP REMIRE MONTJOLY,97305,annuaire,Centre pénitentiaire de Remire-Montjoly
CP RENNES,35353,annuaire,Centre pénitentiaire de Rennes
CP RENNES VEZIN,35353,manuel,CP de Rennes-Vezin le Coquet (annuaire)
CP RIOM,63300,annuaire,Centre pénitentiaire de Riom
CP SEINE SAINT DENIS,93078,annuaire,Centre pénitentiaire de Seine-Saint-Denis
CP ST DENIS,97411,annuaire,Centre pénitentiaire de Saint-Denis
CP ST ETIENNE LA TALAUDIERE,42305,annuaire,Centre pénitentiaire de Saint-Etienne La-Talaudière
CP ST PIERRE ET MIQUELON,97502,annuaire,Centre pénitentiaire de Saint-Pierre-et-Miquelon
CP ST QUENTIN FALLAVIER,38449,annuaire,Centre pénitentiaire de Saint-Quentin-Fallavier
CP SUD FRANCILIEN,77384,annuaire,Centre pénitentiaire du Sud-Francilien
CP TAIOHAE,98731,annuaire,Centre pénitentiaire de Taiohae
CP TOULON LA FARLEDE,83137,annuaire,Centre pénitentiaire de Toulon-La Farlède
CP TOULOUSE SEYSSES,31547,annuaire,Centre pénitentiaire de Toulouse-Seysses
CP TROYES LAVAU,10191,annuaire,Centre pénitentiaire de Troyes-Lavau
CP UTUROA,98758,annuaire,Centre pénitentiaire d'Uturoa
CP VALENCE,26362,annuaire,Centre pénitentiaire de Valence
CP VARENNES LE GRAND,71555,annuaire,Centre pénitentiaire de Varennes-le-Grand
CP VENDIN LE VIEIL,62842,annuaire,Centre pénitentiaire de Vendin le Vieil
CP VILLEFRANCHE SUR SAONE,69264,annuaire,Centre pénitentiaire de Villefranche-sur-Saône
CP VILLENEUVE LES MAGUELONE,34337,annuaire,Centre pénitentiaire de Villeneuve-les-Maguelone
CSL BESANCON,25056,annuaire,Centre de semi-liberté de Besançon
CSL CORBEIL ESSONNES,91174,annuaire,Centre de semi-liberté de Corbeil-Essonnes
CSL GAGNY,93032,annuaire,Centre de semi-liberté de Gagny
CSL LYON,69123,annuaire,Centre de semi-liberté de Lyon
CSL MAXEVILLE,54357,annuaire,Centre de semi-liberté de Maxéville
CSL MELUN,77288,annuaire,Centre de semi-liberté de Melun
