agregat,indicateur,niveaux,lignes,charge,chemin,definition_ofgl,formule_ofgl
Dépenses d'équipement,ofgl_depenses_d_equipement,"commune,epci,departement,region",291668,oui,Dépenses totales > Dépenses d'investissement > Dépenses d'investissement hors remb >,Les dépenses d'équipement constituent un sous-poste des dépenses d'investissement hors remboursements d'emprunts. Elles correspondent aux opérations d'investissement réalisées sur le patrimoine propre de la collectivité.,D20 (immobilisations incorporelles) + D21 (immobilisations corporelles) + D23 (immobilisations en cours) - D204 (subventions d'équipement versées) - C237 (avances versées sur commandes d'immobilisations incorporelles) - C238 (avances versées sur commandes d'immobilisations corporelles)
Dépenses de fonctionnement,ofgl_depenses_fonctionnement,"commune,epci,departement,region",291668,oui,Dépenses totales >,"Les dépenses de fonctionnement comprennent l'ensemble des dépenses récurrentes de la collectivité, nécessaires au fonctionnement de ses services et à la mise en œuvre de ses compétences, ainsi que les charges financières et les dépenses exceptionnelles qui ne modifient pas son patrimoine.",DN6 (charges de fonctionnement) - DN65541 (contributions au fonds de compensation des charges territoriales) - DN675 (valeurs comptables des immobilisations cédées) - DN676 (différences sur réalisations (positives) transférées en investissement) - DN68 (dotations aux amortissements et provisions)
Dépenses totales,ofgl_depenses_totales,"commune,epci,departement,region",291668,oui,,"Les dépenses totales enregistrent l'ensemble des dépenses réelles de la collectivité pour une année, hors gestion active de la dette, quel que soit la nature de la dépense.",Flux croisés sur : Dépenses de fonctionnement + Dépenses d'investissement hors remb (remboursements d'emprunts) + Remboursements d'emprunts hors GAD (gestion active de la dette)
Dépenses totales hors remb,ofgl_depenses_totales_hors_remb,"commune,epci,departement,region",291668,oui,Dépenses totales >,"Les dépenses totales hors remboursement enregistrent l'ensemble des dépenses réelles de la collectivité pour une année, à l'exclusion des opérations liées au remboursement de la dette.",Dépenses de fonctionnement + Dépenses d'investissement hors remb (remboursements d'emprunts)
Dépôts au Trésor,ofgl_depots_au_tresor,"commune,epci,departement,region",291668,oui,,Les dépôts au trésor correspondent à la trésorerie de la collectivité sur son compte au Trésor au 31 décembre de l'exercice.,SD515 (compte au trésor)
Emprunts hors GAD,ofgl_emprunts_hors_gad,"commune,epci,departement,region",291668,oui,Recettes totales > Recettes d'investissement >,"Les emprunts hors GAD (gestion active de la dette) correspondent aux emprunts et dettes mobilisés par la collectivité au cours de l'année, à l'exclusion des éventuelles opérations de gestion active de la dette comptabilisées en mouvements réels et équilibrées en recettes et dépenses (opérations sur lignes de trésorerie ou emprunts de refinancement).",Emprunts yc GAD (gestion active de la dette) - minimum(D16449 ; C16449) - minimum(D166 ; C166)
Encours de dette,ofgl_encours_dette,"commune,epci,departement,region",291668,oui,,"L'encours de dette correspond au stock de dette due par la collectivité au 31 décembre de l'exercice. Il inclut essentiellement les dettes bancaires et assimilées, mais également les dépôts et cautionnements reçus, ainsi que d'autres opérations assimilées à de la dette.",SCN16 (emprunts et dettes assimilées) - SCN1688 (intérêts courus) - SCN169 (primes de remboursement des obligations)
Encours de dette - Dettes bancaires et assimilées,ofgl_encours_de_dette_dettes_bancaires_et_assimilees,"commune,epci,departement,region",258444,oui,Encours de dette >,Les dettes bancaires et assimilées constituent une partie de l'encours de dette au 31 décembre de l'exercice.,SCN163 (emprunts obligataires) + SCN164 (emprunts auprès des établissements financiers) + SCN167 (emprunts et dettes assortis de conditions particulières) + SCN1681 (autres emprunts) + SCN1682 (bons à moyen terme négociables) - SCN1676 (dettes envers locataires-acquéreurs)
Encours de dette - Dépôts et cautionnements reçus,ofgl_encours_de_dette_depots_et_cautionnements_recus,"commune,epci,departement,region",223465,oui,Encours de dette >,Les dépôts et cautionnements reçus constituent une partie de l'encours de dette au 31 décembre de l'exercice.,SCN165 (dépôts et cautionnements reçus)
Epargne brute,ofgl_epargne_brute,"commune,epci,departement,region",291668,oui,,"L'épargne brute correspond à la différence entre les recettes et les dépenses de fonctionnement de l'année. Elle constitue l'épargne dégagée par le fonctionnement de la collectivité. Cette épargne finance prioritairement le remboursement du capital de la dette et, le cas échéant, les investissements de la collectivité.",Flux croisés sur : Recettes de fonctionnement - Dépenses de fonctionnement
Epargne brute avant travaux en régie,ofgl_epargne_brute_avant_travaux_en_regie,"commune,departement",71094,oui,,"L'épargne brute avant travaux en régie correspond à la différence entre les recettes de fonctionnement et les dépenses de fonctionnement, ces dépenses étant elles-mêmes déjà diminuées des travaux en régie.",Epargne brute + Travaux en régie
Epargne de gestion,ofgl_epargne_de_gestion,"commune,epci,departement,region",291668,oui,,"L'épargne de gestion correspond à la différence entre les recettes et les dépenses de fonctionnement courantes de l'année. Elle constitue l'épargne dégagée par le fonctionnement courant de la collectivité, avant prise en compte des mouvements financiers et des mouvements exceptionnels.","CN70 (ventes de produits fabriques, prestations de services, marchandises) + CN71 (production stockée (ou déstockage)) + CN72 (production immobilisée) + CN73 (produits issus de la fiscalité) + CN74 (subventions d'exploitation) + CN75 (autres produits de gestion courante) - DN60 (achats et variation des stocks) - DN61 (services extérieurs) - DN62 (autres services extérieurs) - DN63 (impôts, taxes et versements assimiles) - DN64 (charges de personnel) - DN65 (autres charges de gestion courante)"
Epargne nette,ofgl_epargne_nette,"commune,epci,departement,region",291668,oui,,L'épargne nette correspond à la différence entre l'épargne brute et le remboursement du capital de la dette de l'année. Elle constitue l'épargne disponible pour financer les investissements de la collectivité.,Recettes de fonctionnement - Dépenses de fonctionnement - Remboursements d'emprunts hors GAD (gestion active de la dette)
FCTVA,ofgl_fctva,"commune,epci,departement,region",291668,oui,Recettes totales > Recettes d'investissement > Recettes d'investissement hors emprunts >,Le FCTVA (fonds de compensation de la taxe sur la valeur ajoutée) constitue un sous-poste des recettes d'investissement hors emprunts. Il constitue le remboursement d'une partie de la TVA acquittée par la collectivité sur ses investissements passés.,C10222 (fctva)
FMDI,ofgl_fmdi,"departement,region",1368,oui,Recettes totales > Recettes de fonctionnement > Subventions reçues et participations >,Le FMDI (fonds de mobilisation départementale pour l'insertion) constitue un sous-poste des subventions reçues et participations. Il contribue au financement des politiques sociales de la collectivité.,CN74783 (fonds de mobilisation départemental pour l'insertion)
Fiscalité reversée,ofgl_fiscalite_reversee,"commune,epci,departement,region",254981,oui,Recettes totales > Recettes de fonctionnement > Impôts et taxes > Impôts locaux >,"La fiscalité reversée constitue un sous-poste des impôts locaux. Son calcul correspond aux reversements de fiscalité reçus diminués des reversements de fiscalité versés, à l'exclusion de ceux passant par un fonds. Son montant peut être positif, quant les montants perçus par la collectivité sont supérieurs à ceux reversés aux tiers, ou négatif, dans le cas inverse.",CN7321 (fiscalité reversée entre collectivités locales) + CN7328 (autres fiscalités reversées) + CN73921 (prélèvements pour reversements de fiscalité entre collectivités locales) + CN73928 (autres prélèvements pour reversements de fiscalité)
Flux net de dette,ofgl_flux_net_de_dette,"commune,epci,departement,region",291668,oui,,"Le flux net de dette correspond à la différence entre les emprunts mobilisés et le capital remboursé au cours de l'année. Quand le flux net de dette est positif, la collectivité s'endette. Quand le flux net de dette est négatif, la collectivité se désendette.",Emprunts hors GAD (gestion active de la dette) - Remboursements d'emprunts hors GAD (gestion active de la dette)
Fonds de roulement,ofgl_fonds_de_roulement,"commune,epci,departement,region",291668,oui,,,SDN3 ( comptes de stocks et encours) + SDN4 ( comptes de tiers) + SDN5 ( comptes financiers) + SDN1632 (opérations sur capital remboursable in fine - anticipation du remboursement) + SDN1688 (intérêts courus) + SDN2768 (intérêts courus) - SDN39 (dépréciations des stocks et en-cours) - SDN49 (dépréciations des comptes de tiers) - SDN59 (dépréciations des comptes financiers) - SDN458 (opérations pour le compte de tiers (à subdiviser par opération)) - SDN481 (charges à répartir sur plusieurs exercices)
Fonds de soutien aux emprunts à risque,ofgl_fonds_de_soutien_aux_emprunts_a_risque,"commune,epci,departement,region",923,oui,,"Le fonds de soutien aux emprunts à risque correspond au stock au 31 décembre de l'exercice des aides à recevoir sur les années suivantes au titre des emprunts à risque dont les indemnités de remboursement anticipée (IRA) ont été capitalisées. En terme d'analyse financière, ce montant peut être soustrait de celui de l'encours de dette de la collectivité.",SDN44121 (sortie des emprunts à risques avec ira capitalisées)
Frais d'hébergement,ofgl_frais_d_hebergement,"commune,departement,region",1416,oui,Dépenses totales > Dépenses de fonctionnement > Dépenses d'intervention >,"Les frais d'hébergement constituent un sous-poste des dépenses d'intervention. Ils correspondent aux frais engagés pour assurer l'hébergement de personnes âgées, handicapées, jeunes placés…","DN652 (frais de séjour, frais d'hébergement et frais d'inhumation)"
Frais de personnel,ofgl_frais_personnel,"commune,epci,departement,region",291668,oui,Dépenses totales > Dépenses de fonctionnement >,"Les frais de personnel constituent l'un des postes des dépenses de fonctionnement. Ils correspondent au paiement du traitement des agents de la collectivité, ainsi que des charges afférentes.",DN6211 (personnel affecté par la collectivité de rattachement)
Impôts et taxes,ofgl_impots_et_taxes,"commune,epci,departement,region",291668,oui,Recettes totales > Recettes de fonctionnement >,"Les impôts et taxes constituent un sous-poste des recettes de fonctionnement. Ils correspondent au produit issu de diverses recettes de nature fiscale perçues par la collectivité, diminué des éventuels reversements effectués par la collectivité au titre de ces impôts et taxes mais augmenté des reversements fiscaux perçus par la collectivité.",Impôts locaux + Autres impôts et taxes
Impôts locaux,ofgl_impots_locaux,"commune,epci,departement,region",291641,oui,Recettes totales > Recettes de fonctionnement > Impôts et taxes >,"Les impôts locaux constituent un sous-poste des impôts et taxes. Ils correspondent au produit de la fiscalité directe locale sur les ménages et les entreprises (taxes foncières et d'habitation, CVAE...), diminué des éventuels reversements effectués par la collectivité au titre de ces impôts locaux mais augmenté des reversements fiscaux perçus par la collectivité.",CN7311 (contributions directes) + CN732 (fiscalité reversée) + CN7333 (fonds de solidarité des collectivités d'île-de-france) + CN7334 (dotation de soutien à l'investissement territorial) + CN73911 (reversements et restitutions sur contributions directes) + CN7392 (prélèvements pour reversements de fiscalité) + CN73933 (fonds de solidarité des collectivités d'île-de-france) + CN73934 (dotation de soutien à l'investissement territorial) - CN73223 (fonds départemental des dmto pour les communes de moins de 5 000 habitants) - CN7323 (reversement du prélèvement sur les jeux et les paris hippiques)
Produit des cessions d'immobilisations,ofgl_produit_des_cessions_d_immobilisations,"commune,epci,departement,region",291668,oui,,,CN775 (produits des cessions d'éléments d'actif)
Prélèvement fonds de péreq. DMTO,ofgl_prelevement_fonds_de_pereq_dmto,"departement,region",1261,oui,Recettes totales > Recettes de fonctionnement > Impôts et taxes > Autres impôts et taxes >,"Les prélèvements au titre des fonds de péréquation fondés sur les DMTO regroupent les prélèvements au titre du fonds de péréquation des DMTO, du fonds de solidarité en faveur des départements et du fonds de soutien interdépartemental qui ont fusionné au 1er janvier 2020.",DN739225 (prélèvements au titre des fonds de péréquation fondés sur les dmto)
Péréquations et compensations fiscales,ofgl_perequations_et_compensations_fiscales,"commune,epci,departement,region",290705,oui,Recettes totales > Recettes de fonctionnement > Concours de l'Etat >,"Les attributions de ""péréquations et compensations fiscales"" constituent un sous-poste des concours de l'Etat. Elles correspondent aux compensations versées à la collectivité au titre d'exonérations fiscales décidées par le législateur.",CN7483 (attributions de péréquation et de compensation)
Recettes d'investissement,ofgl_recettes_d_investissement,"commune,epci,departement,region",291668,oui,Recettes totales >,Les recettes d'investissement comprennent l'ensemble des recettes réelles dont dispose la collectivité pour financer ses investissements. Elles comprennent notamment le produit des emprunts ainsi que des ressources affectées au financement de l'investissement et le produit des cessions d'immobilisations.,Flux croisés sur : Recettes d'investissement hors emprunts + Emprunts hors GAD (gestion active de la dette)
Recettes d'investissement hors emprunts,ofgl_recettes_d_investissement_hors_emprunts,"commune,epci,departement,region",291668,oui,Recettes totales > Recettes d'investissement >,"Les recettes d'investissement hors emprunts comprennent des ressources affectées au financement de l'investissement (dotations et subventions reçues). Plus rarement, elles peuvent enregistrer des opérations sur immobilisations financières ou le remboursement d'opérations pour compte de tiers.",CN775 (produits des cessions d'éléments d'actif) + C102 (apports) + C13 (subventions d'investissement) + C20 (immobilisations incorporelles) + C21 (immobilisations corporelles) + C231 (immobilisations corporelles en cours) + C232 (immobilisations incorporelles en cours) + C26 (participations et créances rattachées à des participations) + C27 (autres immobilisations financières) + C456 (autres activités relevant de l'article l.312-1 du casf) + C458 (opérations pour le compte de tiers) - C139 (subventions d'investissement inscrites au compte de résultat) - C2768 (intérêts courus)
Recettes de fonctionnement,ofgl_recettes_fonctionnement,"commune,epci,departement,region",291668,oui,Recettes totales >,"Les recettes de fonctionnement comprennent l'ensemble des recettes récurrentes de la collectivité (impôts, dotations, produit des services…), ainsi que des ressources financières et exceptionnelles (hors cessions d'immobilisations).",CN7 (produits de fonctionnement) - CN775 (produits des cessions d'immobilisations) - CN776 (différences sur réalisations (négatives) reprises au compte de résultat) - CN777 (quote-part des subventions d'investissement transférée au compte de résultat) - CN78 (reprises sur amortissements et provisions)
Recettes totales,ofgl_recettes_totales,"commune,epci,departement,region",291668,oui,,"Les recettes totales enregistrent l'ensemble des recettes réelles de la collectivité pour une année, hors gestion active de la dette, quel que soit la nature de la recette.",Flux croisés sur : Recettes de fonctionnement + Recettes d'investissement hors emprunts + Emprunts hors GAD (gestion active de la dette)
Recettes totales hors emprunts,ofgl_recettes_totales_hors_emprunts,"commune,epci,departement,region",291668,oui,Recettes totales >,"Les recettes totales hors emprunt enregistrent l'ensemble des recettes réelles de la collectivité pour une année, à l'exclusion de celles liés à la conclusion d'un emprunt.",Recettes de fonctionnement + Recettes d'investissement hors emprunts
Remboursements d'emprunts hors GAD,ofgl_remboursements_d_emprunts_hors_gad,"commune,epci,departement,region",291668,oui,Dépenses totales > Dépenses d'investissement >,"Les remboursements d'emprunts hors GAD (gestion active de la dette) correspondent aux remboursements de dette réalisés par la collectivité au cours de l'année, à l'exclusion des éventuelles opérations de gestion active de la dette comptabilisées en mouvements réels et équilibrées en recettes et dépenses (opérations sur lignes de trésorerie ou réaménagements de dette refinancés).",Remboursements d'emprunts yc GAD (gestion active de la dette) - minimum(D16449 ; C16449) - minimum(D166 ; C166)
Subventions aux personnes de droit privé,ofgl_subventions_aux_personnes_de_droit_prive,"commune,epci,departement,region",272301,oui,Dépenses totales > Dépenses de fonctionnement > Dépenses d'intervention >,"Les subventions aux personnes de droit privé constituent un sous-poste des dépenses d'intervention. Elles correspondent notamment aux subventions versées aux associations. Rupture de série en 2024 : ajout d’une ligne spécifique aux fermiers et concessionnaires dans la nomenclature M57, susceptible d’inclure des montants auparavant exclus de l’agrégat.",DN6574 (subventions de fonctionnement aux associations et autres personnes de droit privé)
Subventions d'équipement versées,ofgl_subventions_d_equipement_versees,"commune,epci,departement,region",291668,oui,Dépenses totales > Dépenses d'investissement > Dépenses d'investissement hors remb >,Les subventions d'équipement versées constituent un sous-poste des dépenses d'investissement hors remboursements d'emprunts. Elles correspondent au soutien apporté par la collectivité à des opérations d'investissement réalisées par un tiers.,D204 (subventions d'équipement versées) + D2324 (subventions d'équipement versées)
Subventions reçues et participations,ofgl_subventions_recues_et_participations,"commune,epci,departement,region",291668,oui,Recettes totales > Recettes de fonctionnement >,"Les subventions et participations reçues constituent un sous-poste des recettes de fonctionnement. Elles correspondent aux contributions versées par des tiers à la collectivité pour financer les services qu'elle assure. Rupture de série en 2024 : suite à l'ajout d’une ligne spécifique dans la nomenclature M57, dorénavant, seules les subventions aux BA et régies à caractère administratif non dotés de la personnalité morale sont retranchées de l'agrégat lors de la consolidation entre BP et BA.",CN74 (subventions d'exploitation)
TICPE,ofgl_ticpe,"departement,region",1640,oui,Recettes totales > Recettes de fonctionnement > Impôts et taxes > Autres impôts et taxes >,La TICPE (taxe intérieure de consommation sur les produits énergétiques) constitue un sous-poste des autres impôts et taxes.,CN73142 (taxe intérieure de consommation sur les produits énergiques (ticpe)) + CN731774 (ticpe fpa) + CN731775 (ticpe - primes employeurs apprentis)
TSCA,ofgl_tsca,"departement,region",1405,oui,Recettes totales > Recettes de fonctionnement > Impôts et taxes > Autres impôts et taxes >,La TSCA (taxe spéciale sur les conventions d'assurance) constitue un sous-poste des autres impôts et taxes.,CN73171 (taxe sur les conventions d'assurance)
TVA,ofgl_tva,"commune,epci,departement,region",18831,oui,Recettes totales > Recettes de fonctionnement > Impôts et taxes > Autres impôts et taxes >,La TVA (taxe sur la valeur ajoutée) constitue un sous-poste des autres impôts et taxes.,CN7388 (autres taxes diverses)
Taxe d'enlévement des ordures ménagères,ofgl_taxe_d_enlevement_des_ordures_menageres,"commune,epci",14022,oui,Recettes totales > Recettes de fonctionnement > Impôts et taxes > Autres impôts et taxes >,La taxe d'enlèvement des ordures ménagères (TEOM) constitue un sous-poste des autres impôts et taxes. Elle est perçue par la collectivité en vue de financer la collecte et le traitement des ordures ménagères.,CN73133 (taxe d'enlèvement des ordures ménagères et assimilées)
Travaux en régie,ofgl_travaux_en_regie,"commune,departement",603,oui,Dépenses totales > Dépenses de fonctionnement >,"Les travaux en régie correspondent à la production immobilisée, c'est-à-dire les immobilisations créées par les services techniques de la collectivité et réalisées pour elle-même. Ils sont inscrits en opération d'ordre budgétaire en recettes au compte 72.",OOC72 (production immobilisée)
Variation du fonds de roulement,ofgl_variation_du_fonds_de_roulement,"commune,epci,departement,region",291668,oui,,La variation du fonds de roulement correspond à la différence entre les recettes réelles et les dépenses réelles totales de l'année. La variation du fonds de roulement peut être décomposée entre la variation des recettes et des dépenses hors mouvements sur la dette (capacité ou besoin de financement) et la variation de dette (flux net de dette).,Recettes totales - Dépenses totales
Ventes de biens et services,ofgl_ventes_de_biens_et_services,"commune,epci,departement,region",291668,oui,Recettes totales > Recettes de fonctionnement >,Le produit des ventes de biens et services constitue un sous-poste des recettes de fonctionnement. Il correspond notamment aux produits perçus par la collectivité auprès de l'usager des services qu'elle assure.,DN6287 (remboursement de frais) + DN6215 (personnel affecté à l'établissement)
Versement transport,ofgl_versement_transport,"commune,epci",2442,oui,Recettes totales > Recettes de fonctionnement > Impôts et taxes > Autres impôts et taxes >,Le versement transport (VT) constitue un sous-poste des autres impôts et taxes. Il est perçue par la collectivité en vue de financer les politiques de mobilité.,CN734 (versement mobilité)
